key,en,short,ja,zh,ko,wiki
Sind,Sind — a division of the Bombay Presidency until 1936,,,,,https://en.wikipedia.org/wiki/Sindh
Orissa,Bihar and Orissa Province — one province until 1936,,,,,https://en.wikipedia.org/wiki/Bihar_and_Orissa_Province
Bihar,Bihar and Orissa Province — one province until 1936,,,,,https://en.wikipedia.org/wiki/Bihar_and_Orissa_Province
UnitedProvinces,United Provinces of Agra and Oudh,,,,,https://en.wikipedia.org/wiki/United_Provinces_(1937%E2%80%931950)
NWFP,North-West Frontier Province — a chief commissioner’s province until 1932,,,,,https://en.wikipedia.org/wiki/North-West_Frontier_Province
Liaoning,Liáoníng (Fengtien until 1929),,遼寧 (Ryōnei),遼寧,요녕 (Yonyŏng),https://en.wikipedia.org/wiki/Liaoning
Heilongjiang,Hēilóngjiāng (Heilungkiang),,黒竜江省,黑龍江,헤이룽장성,https://en.wikipedia.org/wiki/Heilongjiang
Suiyuan,Suíyuǎn (Suiyuan),,綏遠省,綏遠,쑤이위안성,https://en.wikipedia.org/wiki/Suiyuan
MahaSarakham,Maha Sarakham (Kalasin was still separate until 1932),,,,,https://en.wikipedia.org/wiki/Maha_Sarakham
SiSaKet,Khukhan,,,,,
Sukhothai,Sawankhalok (Sukhothai was merged into it in 1931),,,,,https://en.wikipedia.org/wiki/Sukhothai_province
Tenasserim,"Tenasserim Division — Thaton, Amherst, Tavoy, Mergui",,,,,https://en.wikipedia.org/wiki/Tanintharyi_Region
Labuan,"Labuan — a Crown colony from 1848, attached to the Straits Settlements in 1907",,,,,https://en.wikipedia.org/wiki/Labuan
Dindings,"The Dindings — Straits Settlement: Lumut, Sitiawan and Pangkor, ceded by Perak in 1874 and ruled from Singapore","Straits Settlement: Lumut, Sitiawan and Pangkor",,,,
